Date,Open,High,Low,Close,Adj Close,Volume
17-09-2007,6898,6977.200195,6843,6897.100098,6897.02002,0
18-09-2007,6921.149902,7078.950195,6883.600098,7059.649902,7059.567871,0
19-09-2007,7111,7419.350098,7111,7401.850098,7401.76416,0
20-09-2007,7404.950195,7462.899902,7343.600098,7390.149902,7390.063965,0
21-09-2007,7378.299805,7506.350098,7367.149902,7464.5,7464.413086,0
24-09-2007,7514.399902,7661.049805,7514.399902,7650.899902,7650.811035,0
25-09-2007,7658.5,7694.25,7490.200195,7629.149902,7629.061035,0
26-09-2007,7647.100098,7829.850098,7591.799805,7755.899902,7755.80957,0
27-09-2007,7804.549805,7866.5,7747.100098,7833.649902,7833.559082,0
28-09-2007,7838.25,8082.850098,7836.049805,8042.200195,8042.106934,0
01-10-2007,8008.549805,8085.149902,7913.299805,7987.5,7987.407227,0
03-10-2007,8029.799805,8235.799805,7820.25,8097.899902,8097.805664,0
04-10-2007,8083.299805,8086.700195,7828.649902,8035.899902,8035.806641,0
05-10-2007,8038.100098,8066.549805,7789.700195,7845.25,7845.158691,0
08-10-2007,7853.149902,7935.450195,7516.450195,7626.399902,7626.311035,0
09-10-2007,7580.899902,7916.450195,7535.049805,7895.850098,7895.758301,0
10-10-2007,7960.649902,8081.049805,7907.350098,8030.649902,8030.556641,0
11-10-2007,8054.299805,8177.75,8005.5,8158.799805,8158.705078,0
12-10-2007,8093.649902,8132.100098,7889.799805,7934,7933.907715,0
15-10-2007,7962.549805,8306.349609,7962.549805,8286.299805,8286.203125,0
16-10-2007,8361.400391,8491.650391,8240.299805,8452.200195,8452.101563,0
17-10-2007,8071.549805,8218.099609,7641.5,8099.899902,8099.805664,0
18-10-2007,8055.149902,8192.450195,7519.700195,7608.75,7608.661621,0
19-10-2007,7637.399902,7718.899902,7279.299805,7423.799805,7423.713379,0
22-10-2007,7374.350098,7621.649902,7289.200195,7568,7567.912109,0
23-10-2007,7621.049805,8118.75,7621.049805,8101.100098,8101.005859,0
24-10-2007,8167.950195,8276.650391,8058.549805,8228.650391,8228.554688,0
25-10-2007,8228.200195,8528.25,8185.549805,8428.650391,8428.552734,0
26-10-2007,8426.400391,8804.900391,8257.049805,8749.900391,8749.798828,0
29-10-2007,8918.049805,9122.349609,8865.650391,9000.75,9000.645508,0
30-10-2007,9024.549805,9237.799805,8832.5,8934.150391,8934.046875,0
31-10-2007,8906.299805,9116.799805,8839.400391,9013.150391,9013.045898,0
01-11-2007,9220.400391,9358,9032.700195,9198.599609,9198.493164,0
02-11-2007,8953.400391,9610.700195,8898.200195,9560.700195,9560.588867,0
05-11-2007,9549.799805,9692.5,9346.25,9397.549805,9397.44043,0
06-11-2007,9383.549805,9550.650391,9129.849609,9216.299805,9216.192383,0
07-11-2007,9215.400391,9388.049805,9049.650391,9090.200195,9090.094727,0
08-11-2007,9090.799805,9090.799805,8816.950195,8876.25,8876.146484,0
12-11-2007,8596.150391,8819.900391,8429.349609,8758.200195,8758.098633,0
13-11-2007,8761.349609,9149,8642.849609,9060,9059.894531,0
14-11-2007,9230.650391,9651.849609,9230.650391,9613.049805,9612.938477,0
15-11-2007,9560.200195,9601.450195,9422.349609,9454.700195,9454.589844,0
16-11-2007,9476.849609,9538.650391,9272.349609,9474.150391,9474.040039,0
19-11-2007,9541.099609,9595.450195,9367.849609,9396.25,9396.140625,0
20-11-2007,9356.400391,9574.849609,9210.099609,9277.849609,9277.742188,0
21-11-2007,9272.200195,9291.650391,8766.349609,8829.799805,8829.697266,0
22-11-2007,8835.25,9084.200195,8650,8998.799805,8998.695313,0
23-11-2007,9051.75,9127.599609,8821.150391,8977.900391,8977.795898,0
26-11-2007,9136.049805,9255.049805,9093.400391,9122.450195,9122.34375,0
27-11-2007,9087.599609,9098.950195,8977.950195,9070.75,9070.644531,0
28-11-2007,9043.599609,9216.150391,8938.099609,8970.849609,8970.745117,0
29-11-2007,9124.799805,9273.25,9063.25,9124.400391,9124.293945,0
30-11-2007,9230.799805,9437.950195,9185,9375.75,9375.640625,0
03-12-2007,9391.200195,9466.200195,9384.349609,9397.549805,9397.44043,0
04-12-2007,9404.150391,9452.700195,9341.049805,9367.099609,9366.991211,0
05-12-2007,9373.450195,9605.25,9373.450195,9581.299805,9581.188477,0
06-12-2007,9644.799805,9759.700195,9559.75,9620.150391,9620.039063,0
07-12-2007,9677.849609,9804.549805,9605.450195,9796.099609,9795.985352,0
10-12-2007,9800.200195,9889.299805,9723.599609,9864.599609,9864.485352,0
11-12-2007,9961.650391,10124.75,9899.950195,10090.7002,10090.58301,0
12-12-2007,9951.25,10086.59961,9891.25,10056.7002,10056.58301,0
13-12-2007,10088.40039,10123.2002,9891.900391,9920.450195,9920.334961,0
14-12-2007,9886.849609,9948.950195,9776.799805,9803.150391,9803.036133,0
17-12-2007,9790.549805,9792.150391,9362.400391,9426.700195,9426.59082,0
